

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
039.415  000.052  000.052: require('lvim.core.alpha.dashboard')
039.462  000.045  000.045: require('lvim.core.alpha.startify')
039.501  000.036  000.036: require('lvim.interface.text')
039.545  000.043  000.043: require('lvim.utils.git')
042.342  000.309  000.309: require('structlog.level')
042.353  000.549  000.240: require('structlog.logger')
042.566  000.212  000.212: require('structlog.pipeline')
043.004  000.208  000.208: require('structlog.formatters.format')
043.225  000.218  000.218: require('structlog.formatters.format_colorizer')
043.437  000.211  000.211: require('structlog.formatters.key_value')
043.440  000.871  000.233: require('structlog.formatters')
043.859  000.217  000.217: require('structlog.processors.timestamper')
044.066  000.204  000.204: require('structlog.processors.stack_writer')
044.068  000.627  000.205: require('structlog.processors')
044.468  000.197  000.197: require('structlog.sinks.console')
044.674  000.204  000.204: require('structlog.sinks.file')
044.883  000.207  000.207: require('structlog.sinks.rotating_file')
045.082  000.197  000.197: require('structlog.sinks.adapter')
045.286  000.202  000.202: require('structlog.sinks.plugins.nvim_notify')
045.288  001.219  000.212: require('structlog.sinks')
045.291  003.741  000.265: require('structlog')
065.847  000.177  000.177: require('lvim.core.mason')
066.149  000.278  000.278: require('lvim.config.settings')
068.977  001.766  001.766: require('vim.filetype')
069.697  000.144  000.144: require('lvim.core.autocmds')
069.988  000.117  000.117: require('lvim.lsp.config')
070.140  000.072  000.072: require('lvim.config._deprecated')
070.294  000.081  000.081: require('lvim.core.autocmds')
070.594  000.072  000.072: require('user.plugins')
070.690  000.092  000.092: require('user.plugin-configs')
070.768  000.055  000.055: require('user.keybindings')
070.968  000.061  000.061: require('user.whichkey')
071.039  000.043  000.043: require('user.callbacks')
071.102  000.038  000.038: require('user.functions')
071.365  000.092  000.092: require('lvim.keymappings')
071.883  000.422  000.422: require('lvim.plugins')
072.086  000.182  000.182: require('lazy')
072.868  000.709  000.709: require('lazy.stats')
072.953  000.060  000.060: require('lazy.core.util')
073.190  000.235  000.235: require('lazy.core.config')
073.513  000.235  000.235: require('lazy.core.handler')
073.696  000.181  000.181: require('lazy.core.plugin')
073.717  000.525  000.110: require('lazy.core.loader')
078.074  000.462  000.462: require('lazy.core.handler.keys')
078.142  000.056  000.056: require('lazy.core.handler.event')
078.218  000.070  000.070: require('lazy.core.handler.cmd')
078.256  000.035  000.035: require('lazy.core.handler.ft')
079.079  000.148  000.148: sourcing /usr/local/share/nvim/runtime/filetype.lua
079.688  000.024  000.024: require('nvim-treesitter.tsrange')
079.706  000.015  000.015: require('nvim-treesitter.caching')
079.715  000.078  000.039: require('nvim-treesitter.query')
079.727  000.128  000.050: require('nvim-treesitter.configs')
079.730  000.155  000.027: require('nvim-treesitter.info')
079.767  000.035  000.035: require('nvim-treesitter.shell_command_selectors')
079.788  000.270  000.080: require('nvim-treesitter.install')
079.808  000.018  000.018: require('nvim-treesitter.statusline')
079.861  000.052  000.052: require('nvim-treesitter.query_predicates')
079.864  000.534  000.195: require('nvim-treesitter')
